Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;FileSize;BufferSize;Mean;Error;StdDev;Gen 0/1k Op;Gen 1/1k Op;Gen 2/1k Op;Allocated Memory/Op
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;512;127.55 us;1.1620 us;1.0870 us;0.2441;-;-;1.54 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;512;77.76 us;0.6499 us;0.6079 us;0.1221;-;-;1.03 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;512;129.31 us;1.0047 us;0.9398 us;0.2441;-;-;1.54 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;512;79.31 us;0.3408 us;0.3188 us;0.1221;-;-;1.03 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;1024;127.99 us;1.2165 us;1.1379 us;0.2441;-;-;2.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;1024;79.13 us;0.8661 us;0.8102 us;0.2441;-;-;1.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;1024;127.69 us;0.9716 us;0.9088 us;0.2441;-;-;2.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;1024;79.32 us;0.5353 us;0.5008 us;0.2441;-;-;1.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;2048;124.67 us;0.4761 us;0.4453 us;0.4883;-;-;3.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;2048;79.98 us;1.1051 us;1.0337 us;0.4883;-;-;2.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;2048;126.26 us;0.9477 us;0.8864 us;0.4883;-;-;3.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;2048;78.76 us;1.2451 us;1.1647 us;0.4883;-;-;2.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;4096;128.00 us;0.5177 us;0.4590 us;0.9766;-;-;5.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;4096;77.49 us;0.4688 us;0.4385 us;0.9766;-;-;4.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;4096;136.11 us;2.8042 us;6.2139 us;0.9766;-;-;5.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;4096;79.65 us;1.0994 us;1.0284 us;0.9766;-;-;4.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;8192;133.29 us;2.0195 us;1.8891 us;1.9531;-;-;9.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;8192;81.13 us;1.1667 us;1.0913 us;1.8311;-;-;8.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;8192;134.11 us;1.3446 us;1.2577 us;1.9531;-;-;9.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;8192;79.73 us;1.0216 us;0.9556 us;1.8311;-;-;8.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;16384;133.60 us;1.2037 us;1.1259 us;3.6621;-;-;17.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;16384;80.59 us;1.0002 us;0.9355 us;3.5400;-;-;16.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;16384;133.26 us;1.0984 us;0.9737 us;3.6621;-;-;17.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;16384;82.52 us;0.7870 us;0.7362 us;3.5400;-;-;16.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;32768;133.40 us;2.1935 us;2.0518 us;7.0801;-;-;33.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;32768;81.30 us;1.3876 us;1.2979 us;6.9580;-;-;32.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;32768;134.27 us;1.2838 us;1.2009 us;7.0801;-;-;33.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;32768;80.19 us;0.6388 us;0.5975 us;6.9580;-;-;32.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;65536;132.64 us;1.2770 us;1.1945 us;13.9160;-;-;65.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;65536;81.83 us;1.1315 us;1.0030 us;13.7939;-;-;64.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;65536;132.30 us;1.6681 us;1.5603 us;13.9160;-;-;65.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;65536;83.93 us;1.3998 us;1.3093 us;13.7939;-;-;64.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;84975;135.90 us;1.2854 us;1.2023 us;18.0664;-;-;84.02 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;84975;80.72 us;0.4496 us;0.3754 us;17.8223;-;-;83.52 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;84975;131.13 us;0.6979 us;0.6528 us;18.0664;-;-;84.02 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;84975;80.40 us;0.6445 us;0.6028 us;17.8223;-;-;83.52 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;512;129.23 us;1.4024 us;1.3118 us;0.2441;-;-;1.54 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;512;77.59 us;0.4175 us;0.3259 us;0.1221;-;-;1.03 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;512;128.55 us;1.2654 us;1.1837 us;0.2441;-;-;1.54 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;512;77.67 us;0.2892 us;0.2705 us;0.1221;-;-;1.03 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;1024;125.86 us;2.1147 us;1.9781 us;0.2441;-;-;2.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;1024;79.24 us;0.9389 us;0.8782 us;0.2441;-;-;1.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;1024;127.79 us;1.0366 us;0.9697 us;0.2441;-;-;2.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;1024;76.83 us;0.1539 us;0.1364 us;0.2441;-;-;1.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;2048;127.03 us;0.5192 us;0.4336 us;0.4883;-;-;3.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;2048;77.68 us;0.5215 us;0.4623 us;0.4883;-;-;2.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;2048;130.26 us;0.8936 us;0.6976 us;0.4883;-;-;3.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;2048;78.21 us;0.2241 us;0.2096 us;0.4883;-;-;2.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;4096;128.77 us;1.3129 us;1.2281 us;0.9766;-;-;5.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;4096;79.36 us;0.6595 us;0.5507 us;0.9766;-;-;4.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;4096;128.55 us;1.5043 us;1.4071 us;0.9766;-;-;5.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;4096;77.69 us;0.6900 us;0.6117 us;0.9766;-;-;4.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;8192;127.58 us;0.9652 us;0.9028 us;1.9531;-;-;9.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;8192;78.22 us;0.1407 us;0.1175 us;1.8311;-;-;8.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;8192;128.38 us;1.4257 us;1.3336 us;1.9531;-;-;9.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;8192;79.28 us;0.2444 us;0.2167 us;1.8311;-;-;8.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;16384;132.35 us;1.2061 us;1.1282 us;3.6621;-;-;17.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;16384;78.18 us;0.4830 us;0.4518 us;3.5400;-;-;16.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;16384;128.86 us;1.9689 us;1.8418 us;3.6621;-;-;17.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;16384;79.06 us;0.3573 us;0.3343 us;3.5400;-;-;16.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;32768;130.67 us;1.0499 us;0.9820 us;7.0801;-;-;33.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;32768;81.16 us;0.8632 us;0.8074 us;6.9580;-;-;32.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;32768;128.39 us;0.3829 us;0.3197 us;7.0801;-;-;33.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;32768;78.43 us;0.3180 us;0.2975 us;6.9580;-;-;32.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;65536;132.79 us;1.0923 us;1.0217 us;13.9160;-;-;65.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;65536;80.23 us;0.3322 us;0.3107 us;13.7939;-;-;64.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;65536;131.12 us;1.4120 us;1.3208 us;13.9160;-;-;65.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;65536;81.24 us;0.6849 us;0.6406 us;13.7939;-;-;64.53 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;84975;130.37 us;0.3172 us;0.2649 us;18.0664;-;-;84.02 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;84975;80.41 us;0.6851 us;0.6409 us;17.8223;-;-;83.52 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;84975;132.28 us;2.3787 us;2.2250 us;18.0664;-;-;84.02 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;512;84975;80.80 us;0.1891 us;0.1579 us;17.8223;-;-;83.52 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;512;153.17 us;1.3793 us;1.2902 us;0.2441;-;-;1.54 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;512;81.85 us;0.9275 us;0.8676 us;0.1221;-;-;1.03 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;512;153.90 us;1.2882 us;1.2050 us;0.2441;-;-;1.54 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;512;80.02 us;0.4813 us;0.4502 us;0.1221;-;-;1.03 KB
AsyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;1024;128.93 us;0.7525 us;0.7038 us;0.2441;-;-;2.04 KB
SyncFileStream;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;1024;77.93 us;0.2640 us;0.2469 us;0.2441;-;-;1.53 KB
AsyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;1024;124.45 us;0.8529 us;0.7978 us;0.2441;-;-;2.04 KB
SyncFileStreamSequentialOptions;Core;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1024;1024;79.03 us;0.9294 us;0.8693 us;0.2441;-;-;1.53 KB
